indent,category,series_id,basis
2,Services less medical care services,CUSR0000SASL5,SA
1,Durables,CUSR0000SAD,SA
1,Nondurables,CUSR0000SAN,SA
2,Nondurables less food,CUSR0000SANL1,SA
2,Nondurables less food and beverages,CUSR0000SANL11,SA
2,"Nondurables less food, beverages, and apparel",CUSR0000SANL113,SA
2,Nondurables less food and apparel,CUSR0000SANL13,SA
1,Housing,CUSR0000SAH,SA
1,Education and communication(5),CUSR0000SAE,SA
2,Education(5),CUSR0000SAE1,SA
2,Communication(5),CUSR0000SAE2,SA
3,Information and information processing(5),CUSR0000SAE21,SA
3,"Information technology, hardware and services(14)",CUSR0000SEEE,SA
1,Recreation(5),CUSR0000SAR,SA
2,Video and audio(5),CUSR0000SERA,SA
2,"Pets, pet products and services(5)",CUSR0000SERB,SA
2,Photography(5),CUSR0000SERD,SA
1,Food and beverages,CUSR0000SAF,SA
2,Domestically produced farm food(4),CUSR0000SAN1D,SA
1,Other services,CUSR0000SAS367,SA
1,Apparel less footwear,CUSR0000SA311,SA
1,Fuels and utilities,CUSR0000SAH2,SA
2,Household energy,CUSR0000SAH21,SA
1,Medical care,CUSR0000SAM,SA
1,Transportation,CUSR0000SAT,SA
2,Private transportation,CUSR0000SAT1,SA
3,New and used motor vehicles(5),CUSR0000SETA,SA
1,Utilities and public transportation,CUSR0000SAS24,SA
1,Household furnishings and operations,CUSR0000SAH3,SA
1,Other goods and services,CUSR0000SAG,SA
2,Personal care,CUSR0000SAG1,SA
